Entry ID,Contest Name,Contest ID,Entry Fee,CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions,,,,,,,,
3139512140,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Fred VanVleet(21454024),Terry Rozier(21454025),Miles Bridges(21454026),OG Anunoby(21454028),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
3139512141,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Fred VanVleet(21454024),Scottie Barnes(21454030),LaMelo Ball(21454022),OG Anunoby(21454028),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
3139512142,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Fred VanVleet(21454024),Scottie Barnes(21454030),LaMelo Ball(21454022),Gary Trent(21454027),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
3139512143,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Fred VanVleet(21454024),Scottie Barnes(21454030),Terry Rozier(21454025),Miles Bridges(21454026),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
3139512144,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),LaMelo Ball(21454022),Terry Rozier(21454025),PJ Washington(21454033),Miles Bridges(21454026),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
3139512145,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Fred VanVleet(21454024),LaMelo Ball(21454022),PJ Washington(21454033),OG Anunoby(21454028),,,,,,,,,,
3139512146,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Fred VanVleet(21454024),Terry Rozier(21454025),PJ Washington(21454033),Miles Bridges(21454026),OG Anunoby(21454028),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
3139512147,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,LaMelo Ball(21454022),Montrezl Harrell(21454032),Fred VanVleet(21454024),Scottie Barnes(21454030),Pascal Siakam(21454023),OG Anunoby(21454028),,PG,LaMelo Ball (21453978),LaMelo Ball,21453978,CPT,15600,TOR@CHA 02/25/2022 07:00PM ET,CHA,44.74
3139512148,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Fred VanVleet(21454024),Scottie Barnes(21454030),LaMelo Ball(21454022),PJ Washington(21454033),OG Anunoby(21454028),,PF/C,Pascal Siakam (21453979),Pascal Siakam,21453979,CPT,15000,TOR@CHA 02/25/2022 07:00PM ET,TOR,44.31
3139512149,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Montrezl Harrell(21454032),Fred VanVleet(21454024),LaMelo Ball(21454022),Gary Trent(21454027),PJ Washington(21454033),,PG/SG,Fred VanVleet (21453980),Fred VanVleet,21453980,CPT,14400,TOR@CHA 02/25/2022 07:00PM ET,TOR,43.09
3139512150,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,Pascal Siakam(21454023),Fred VanVleet(21454024),Gary Trent(21454027),Terry Rozier(21454025),PJ Washington(21454033),Miles Bridges(21454026),,PG/SG,Terry Rozier (21453981),Terry Rozier,21453981,CPT,13200,TOR@CHA 02/25/2022 07:00PM ET,CHA,34.4
3139512151,NBA Showdown $1K Quarter Jukebox [Just $0.25!]  (TOR vs CHA),124167076,$0.25 ,LaMelo Ball(21454022),Montrezl Harrell(21454032),Fred VanVleet(21454024),Scottie Barnes(21454030),Gary Trent(21454027),Pascal Siakam(21454023),,SF/PF,Miles Bridges (21453982),Miles Bridges,21453982,CPT,12600,TOR@CHA 02/25/2022 07:00PM ET,CHA,38.48
