Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Jayson Tatum (21458175),Jayson Tatum,21458175,CPT,15900,BOS@DET 02/26/2022 12:00PM ET,BOS,46.22
SG/SF,Jaylen Brown (21458176),Jaylen Brown,21458176,CPT,14700,BOS@DET 02/26/2022 12:00PM ET,BOS,39.64
SG/SF,Cade Cunningham (21458177),Cade Cunningham,21458177,CPT,12900,BOS@DET 02/26/2022 12:00PM ET,DET,33.86
C,Robert Williams (21458178),Robert Williams,21458178,CPT,12600,BOS@DET 02/26/2022 12:00PM ET,BOS,31.38
PF,Jerami Grant (21458179),Jerami Grant,21458179,CPT,11700,BOS@DET 02/26/2022 12:00PM ET,DET,31.97
PG/SG,Marcus Smart (21458180),Marcus Smart,21458180,CPT,11400,BOS@DET 02/26/2022 12:00PM ET,BOS,28.58
SF/PF,Saddiq Bey (21458181),Saddiq Bey,21458181,CPT,11100,BOS@DET 02/26/2022 12:00PM ET,DET,30.14
PF/C,Al Horford (21458182),Al Horford,21458182,CPT,10800,BOS@DET 02/26/2022 12:00PM ET,BOS,28.95
SF/PF,Jayson Tatum (21458220),Jayson Tatum,21458220,UTIL,10600,BOS@DET 02/26/2022 12:00PM ET,BOS,46.22
PG/SG,Derrick White (21458183),Derrick White,21458183,CPT,9900,BOS@DET 02/26/2022 12:00PM ET,BOS,30.63
SG/SF,Jaylen Brown (21458221),Jaylen Brown,21458221,UTIL,9800,BOS@DET 02/26/2022 12:00PM ET,BOS,39.64
C,Isaiah Stewart (21458184),Isaiah Stewart,21458184,CPT,8700,BOS@DET 02/26/2022 12:00PM ET,DET,23.08
SG/SF,Cade Cunningham (21458222),Cade Cunningham,21458222,UTIL,8600,BOS@DET 02/26/2022 12:00PM ET,DET,33.86
C,Robert Williams (21458223),Robert Williams,21458223,UTIL,8400,BOS@DET 02/26/2022 12:00PM ET,BOS,31.38
PF,Jerami Grant (21458224),Jerami Grant,21458224,UTIL,7800,BOS@DET 02/26/2022 12:00PM ET,DET,31.97
SG/SF,Hamidou Diallo (21458185),Hamidou Diallo,21458185,CPT,7800,BOS@DET 02/26/2022 12:00PM ET,DET,22.24
PG/SG,Marcus Smart (21458225),Marcus Smart,21458225,UTIL,7600,BOS@DET 02/26/2022 12:00PM ET,BOS,28.58
SF/PF,Saddiq Bey (21458226),Saddiq Bey,21458226,UTIL,7400,BOS@DET 02/26/2022 12:00PM ET,DET,30.14
PF/C,Al Horford (21458227),Al Horford,21458227,UTIL,7200,BOS@DET 02/26/2022 12:00PM ET,BOS,28.95
C,Daniel Theis (21458186),Daniel Theis,21458186,CPT,7200,BOS@DET 02/26/2022 12:00PM ET,BOS,17.64
PG/SG,Cory Joseph (21458187),Cory Joseph,21458187,CPT,6900,BOS@DET 02/26/2022 12:00PM ET,DET,18.76
PG/SG,Derrick White (21458228),Derrick White,21458228,UTIL,6600,BOS@DET 02/26/2022 12:00PM ET,BOS,30.63
PG,Killian Hayes (21458188),Killian Hayes,21458188,CPT,6600,BOS@DET 02/26/2022 12:00PM ET,DET,18.56
PF/C,Marvin Bagley III (21458189),Marvin Bagley III,21458189,CPT,6300,BOS@DET 02/26/2022 12:00PM ET,DET,20.39
C,Isaiah Stewart (21458229),Isaiah Stewart,21458229,UTIL,5800,BOS@DET 02/26/2022 12:00PM ET,DET,23.08
PF/C,Kelly Olynyk (21458190),Kelly Olynyk,21458190,CPT,5700,BOS@DET 02/26/2022 12:00PM ET,DET,22.14
SG/SF,Hamidou Diallo (21458230),Hamidou Diallo,21458230,UTIL,5200,BOS@DET 02/26/2022 12:00PM ET,DET,22.24
C,Daniel Theis (21458231),Daniel Theis,21458231,UTIL,4800,BOS@DET 02/26/2022 12:00PM ET,BOS,17.64
SF,Rodney McGruder (21458191),Rodney McGruder,21458191,CPT,4800,BOS@DET 02/26/2022 12:00PM ET,DET,9.75
PG/SG,Cory Joseph (21458232),Cory Joseph,21458232,UTIL,4600,BOS@DET 02/26/2022 12:00PM ET,DET,18.76
PG,Killian Hayes (21458233),Killian Hayes,21458233,UTIL,4400,BOS@DET 02/26/2022 12:00PM ET,DET,18.56
PF/C,Marvin Bagley III (21458234),Marvin Bagley III,21458234,UTIL,4200,BOS@DET 02/26/2022 12:00PM ET,DET,20.39
SF/PF,Grant Williams (21458192),Grant Williams,21458192,CPT,3900,BOS@DET 02/26/2022 12:00PM ET,BOS,15.99
PF/C,Kelly Olynyk (21458235),Kelly Olynyk,21458235,UTIL,3800,BOS@DET 02/26/2022 12:00PM ET,DET,22.14
SG,Frank Jackson (21458193),Frank Jackson,21458193,CPT,3300,BOS@DET 02/26/2022 12:00PM ET,DET,16.26
SF,Rodney McGruder (21458236),Rodney McGruder,21458236,UTIL,3200,BOS@DET 02/26/2022 12:00PM ET,DET,9.75
PG,Payton Pritchard (21458194),Payton Pritchard,21458194,CPT,3000,BOS@DET 02/26/2022 12:00PM ET,BOS,10.02
SF/PF,Grant Williams (21458237),Grant Williams,21458237,UTIL,2600,BOS@DET 02/26/2022 12:00PM ET,BOS,15.99
SG,Frank Jackson (21458238),Frank Jackson,21458238,UTIL,2200,BOS@DET 02/26/2022 12:00PM ET,DET,16.26
SG/SF,Aaron Nesmith (21458195),Aaron Nesmith,21458195,CPT,2100,BOS@DET 02/26/2022 12:00PM ET,BOS,6.95
PG,Payton Pritchard (21458239),Payton Pritchard,21458239,UTIL,2000,BOS@DET 02/26/2022 12:00PM ET,BOS,10.02
C,Luka Garza (21458196),Luka Garza,21458196,CPT,1800,BOS@DET 02/26/2022 12:00PM ET,DET,10.61
PG,Justin Robinson (21458197),Justin Robinson,21458197,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,6.91
PG,Derrick Walton Jr. (21458198),Derrick Walton Jr.,21458198,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,27
SF,Joe Johnson (21458199),Joe Johnson,21458199,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,2
SF/PF,Jamorko Pickett (21458200),Jamorko Pickett,21458200,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,2.79
PF,Sam Hauser (21458201),Sam Hauser,21458201,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,3.67
SF,Kelan Martin (21458202),Kelan Martin,21458202,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,11.73
C,Balsa Koprivica (21458203),Balsa Koprivica,21458203,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,0
PG/SG,Brodric Thomas (21458204),Brodric Thomas,21458204,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,3.33
PF,Al-Farouq Aminu (21458205),Al-Farouq Aminu,21458205,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,0
SF,C.J. Miles (21458206),C.J. Miles,21458206,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,0
PG,Jaysean Paige (21458207),Jaysean Paige,21458207,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,2.25
SF/PF,Micah Potter (21458208),Micah Potter,21458208,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,8.92
PF,Jabari Parker (21458209),Jabari Parker,21458209,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,8.92
SG,Juhann Begarin (21458210),Juhann Begarin,21458210,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,0
PF,Isaiah Livers (21458211),Isaiah Livers,21458211,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,3.5
SG,Trayvon Palmer (21458212),Trayvon Palmer,21458212,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,2
SG/SF,Chris Smith (21458213),Chris Smith,21458213,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,0
SG,Cassius Stanley (21458214),Cassius Stanley,21458214,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,10.53
C,Luke Kornet (21458215),Luke Kornet,21458215,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,4.35
PF,Cheick Diallo (21458216),Cheick Diallo,21458216,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,9.17
SF,Malik Fitts (21458217),Malik Fitts,21458217,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,BOS,2.64
PG,Saben Lee (21458218),Saben Lee,21458218,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,13.61
SF,Deividas Sirvydis (21458219),Deividas Sirvydis,21458219,CPT,1500,BOS@DET 02/26/2022 12:00PM ET,DET,6.83
SG/SF,Aaron Nesmith (21458240),Aaron Nesmith,21458240,UTIL,1400,BOS@DET 02/26/2022 12:00PM ET,BOS,6.95
C,Luka Garza (21458241),Luka Garza,21458241,UTIL,1200,BOS@DET 02/26/2022 12:00PM ET,DET,10.61
PG,Justin Robinson (21458242),Justin Robinson,21458242,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,6.91
PG,Derrick Walton Jr. (21458243),Derrick Walton Jr.,21458243,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,27
SF,Joe Johnson (21458244),Joe Johnson,21458244,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,2
SF/PF,Jamorko Pickett (21458245),Jamorko Pickett,21458245,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,2.79
PF,Sam Hauser (21458246),Sam Hauser,21458246,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,3.67
SF,Kelan Martin (21458247),Kelan Martin,21458247,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,11.73
C,Balsa Koprivica (21458248),Balsa Koprivica,21458248,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,0
PG/SG,Brodric Thomas (21458249),Brodric Thomas,21458249,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,3.33
PF,Al-Farouq Aminu (21458250),Al-Farouq Aminu,21458250,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,0
SF,C.J. Miles (21458251),C.J. Miles,21458251,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,0
PG,Jaysean Paige (21458252),Jaysean Paige,21458252,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,2.25
SF/PF,Micah Potter (21458253),Micah Potter,21458253,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,8.92
PF,Jabari Parker (21458254),Jabari Parker,21458254,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,8.92
SG,Juhann Begarin (21458255),Juhann Begarin,21458255,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,0
PF,Isaiah Livers (21458256),Isaiah Livers,21458256,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,3.5
SG,Trayvon Palmer (21458257),Trayvon Palmer,21458257,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,2
SG/SF,Chris Smith (21458258),Chris Smith,21458258,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,0
SG,Cassius Stanley (21458259),Cassius Stanley,21458259,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,10.53
C,Luke Kornet (21458260),Luke Kornet,21458260,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,4.35
PF,Cheick Diallo (21458261),Cheick Diallo,21458261,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,9.17
SF,Malik Fitts (21458262),Malik Fitts,21458262,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,BOS,2.64
PG,Saben Lee (21458263),Saben Lee,21458263,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,13.61
SF,Deividas Sirvydis (21458264),Deividas Sirvydis,21458264,UTIL,1000,BOS@DET 02/26/2022 12:00PM ET,DET,6.83
