Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame,Max Deviation
UTIL,Grant Williams (21458237),Grant Williams,21458237,UTIL,2600,BOS@DET 02/26/2022 12:00PM ET,BOS,17.12,6.19
CPT,Grant Williams (21458237),Grant Williams,21458237,CPT,3900.0,BOS@DET 02/26/2022 12:00PM ET,BOS,25.68,6.19
UTIL,Jayson Tatum (21458220),Jayson Tatum,21458220,UTIL,10600,BOS@DET 02/26/2022 12:00PM ET,BOS,47.07,10.16
CPT,Jayson Tatum (21458220),Jayson Tatum,21458220,CPT,15900.0,BOS@DET 02/26/2022 12:00PM ET,BOS,70.61,10.16
UTIL,Marvin Bagley III (21458234),Marvin Bagley III,21458234,UTIL,4200,BOS@DET 02/26/2022 12:00PM ET,DET,20.27,6.96
CPT,Marvin Bagley III (21458234),Marvin Bagley III,21458234,CPT,6300.0,BOS@DET 02/26/2022 12:00PM ET,DET,30.41,6.96
UTIL,Kelly Olynyk (21458235),Kelly Olynyk,21458235,UTIL,3800,BOS@DET 02/26/2022 12:00PM ET,DET,17.43,7.13
CPT,Kelly Olynyk (21458235),Kelly Olynyk,21458235,CPT,5700.0,BOS@DET 02/26/2022 12:00PM ET,DET,26.14,7.13
UTIL,Cory Joseph (21458232),Cory Joseph,21458232,UTIL,4600,BOS@DET 02/26/2022 12:00PM ET,DET,21.11,6.8
CPT,Cory Joseph (21458232),Cory Joseph,21458232,CPT,6900.0,BOS@DET 02/26/2022 12:00PM ET,DET,31.66,6.8
UTIL,Jaylen Brown (21458221),Jaylen Brown,21458221,UTIL,9800,BOS@DET 02/26/2022 12:00PM ET,BOS,40.35,9.39
CPT,Jaylen Brown (21458221),Jaylen Brown,21458221,CPT,14700.0,BOS@DET 02/26/2022 12:00PM ET,BOS,60.53,9.39
UTIL,Al Horford (21458227),Al Horford,21458227,UTIL,7200,BOS@DET 02/26/2022 12:00PM ET,BOS,29.9,8.27
CPT,Al Horford (21458227),Al Horford,21458227,CPT,10800.0,BOS@DET 02/26/2022 12:00PM ET,BOS,44.85,8.27
UTIL,Robert Williams (21458223),Robert Williams,21458223,UTIL,8400,BOS@DET 02/26/2022 12:00PM ET,BOS,33.86,8.77
CPT,Robert Williams (21458223),Robert Williams,21458223,CPT,12600.0,BOS@DET 02/26/2022 12:00PM ET,BOS,50.79,8.77
UTIL,Saddiq Bey (21458226),Saddiq Bey,21458226,UTIL,7400,BOS@DET 02/26/2022 12:00PM ET,DET,30.28,8.12
