CPT,UTIL,UTIL,UTIL,UTIL,UTIL,Budget,FPPG,FFPG(Random),Difference,Average Ownership
Jaylen Brown(21458221),Al Horford(21458227),Robert Williams(21458223),Jayson Tatum(21458220),Jerami Grant(21458224),Cassius Stanley(21458259),49700.0,233.665,281.154,47.489000000000004,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Robert Williams(21458223),Cade Cunningham(21458222),Sam Hauser(21458246),Cory Joseph(21458232),48300.0,236.555,287.087,50.53199999999998,0
Jayson Tatum(21458220),Robert Williams(21458223),Saddiq Bey(21458226),Cade Cunningham(21458222),Marcus Smart(21458225),Aaron Nesmith(21458240),49300.0,233.895,280.638,46.74299999999997,0
Jaylen Brown(21458221),Robert Williams(21458223),Cade Cunningham(21458222),Jayson Tatum(21458220),Isaiah Stewart(21458229),Sam Hauser(21458246),49100.0,229.275,291.523,62.24800000000002,0
Jaylen Brown(21458221),Robert Williams(21458223),Cade Cunningham(21458222),Jayson Tatum(21458220),Isaiah Stewart(21458229),Aaron Nesmith(21458240),49500.0,229.345,277.198,47.85299999999998,0
Jaylen Brown(21458221),Al Horford(21458227),Cade Cunningham(21458222),Jayson Tatum(21458220),Jerami Grant(21458224),Kelan Martin(21458247),49900.0,234.205,302.974,68.76899999999998,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Robert Williams(21458223),Cade Cunningham(21458222),Hamidou Diallo(21458230),Sam Hauser(21458246),48900.0,234.985,276.843,41.858000000000004,0
Jaylen Brown(21458221),Robert Williams(21458223),Saddiq Bey(21458226),Jayson Tatum(21458220),Jerami Grant(21458224),Sam Hauser(21458246),49900.0,234.075,320.854,86.779,0
Jaylen Brown(21458221),Saddiq Bey(21458226),Cade Cunningham(21458222),Jayson Tatum(21458220),Derrick White(21458228),Luke Kornet(21458260),48900.0,230.335,314.759,84.424,0
Robert Williams(21458223),Jaylen Brown(21458221),Jayson Tatum(21458220),Jerami Grant(21458224),Marcus Smart(21458225),Cassius Stanley(21458259),49400.0,224.095,306.492,82.39700000000002,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Robert Williams(21458223),Cade Cunningham(21458222),Isaiah Stewart(21458229),Luke Kornet(21458260),49500.0,238.045,345.893,107.84799999999998,0
Jaylen Brown(21458221),Al Horford(21458227),Saddiq Bey(21458226),Cade Cunningham(21458222),Jayson Tatum(21458220),Luke Kornet(21458260),49500.0,233.735,325.405,91.66999999999996,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Al Horford(21458227),Saddiq Bey(21458226),Jerami Grant(21458224),Luke Kornet(21458260),49100.0,238.885,289.875,50.99000000000001,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Saddiq Bey(21458226),Cade Cunningham(21458222),Derrick White(21458228),Luke Kornet(21458260),49300.0,238.735,319.653,80.918,0
Jaylen Brown(21458221),Robert Williams(21458223),Saddiq Bey(21458226),Jayson Tatum(21458220),Jerami Grant(21458224),Kelan Martin(21458247),49900.0,234.215,305.445,71.22999999999999,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Al Horford(21458227),Saddiq Bey(21458226),Cade Cunningham(21458222),Luke Kornet(21458260),49900.0,242.135,326.061,83.92599999999999,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Robert Williams(21458223),Saddiq Bey(21458226),Hamidou Diallo(21458230),Aaron Nesmith(21458240),48100.0,231.105,291.891,60.78600000000003,0
Jayson Tatum(21458220),Robert Williams(21458223),Saddiq Bey(21458226),Cade Cunningham(21458222),Jerami Grant(21458224),Luke Kornet(21458260),49100.0,236.725,263.501,26.775999999999982,0
Jaylen Brown(21458221),Robert Williams(21458223),Saddiq Bey(21458226),Jayson Tatum(21458220),Jerami Grant(21458224),Malik Fitts(21458262),49900.0,234.075,322.148,88.07300000000004,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Al Horford(21458227),Saddiq Bey(21458226),Jerami Grant(21458224),Malik Fitts(21458262),49100.0,238.515,296.817,58.30200000000002,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Al Horford(21458227),Saddiq Bey(21458226),Jerami Grant(21458224),Kelan Martin(21458247),49100.0,238.655,324.328,85.67299999999997,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Al Horford(21458227),Robert Williams(21458223),Marvin Bagley(21458234),Kelly Olynyk(21458235),49300.0,247.725,277.52,29.794999999999987,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Cade Cunningham(21458222),Jerami Grant(21458224),Derrick White(21458228),Malik Fitts(21458262),49700.0,239.065,302.432,63.36700000000002,0
Jaylen Brown(21458221),Al Horford(21458227),Cade Cunningham(21458222),Jayson Tatum(21458220),Jerami Grant(21458224),Malik Fitts(21458262),49900.0,234.065,289.728,55.66300000000001,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Robert Williams(21458223),Cade Cunningham(21458222),Cassius Stanley(21458259),Cory Joseph(21458232),48300.0,236.525,312.491,75.96599999999998,0
Jayson Tatum(21458220),Jaylen Brown(21458221),Al Horford(21458227),Saddiq Bey(21458226),Cade Cunningham(21458222),Cassius Stanley(21458259),49900.0,241.735,311.175,69.44,0
